DeviceId,InsideTemperature,OutsideTemperature,Moisture,Power,IsDoorOpen,SealThreshold,SealBroken
1,5,20,56.74,0.001,0,34.04,0
2,4.5,20,56.74,0.001,0,34.04,0
3,4.5,20,56.74,0.001,1,34.04,0
4,4.5,20,54.47,0.001,1,32.68,0
5,4.5,20,54.47,0.0009,1,32.68,0
6,4.5,20.12,54.47,0.0009,1,32.68,0
7,4.5,20.12,54.47,0.0009,1,32.68,0
8,4.5,20.12,54.58,0.0009,1,32.75,0
9,4.5,20.12,54.58,0.0009,0,32.75,0
10,4.5,21.33,54.58,0.0009,0,32.75,0
11,4.62,21.33,54.58,0.0009,0,32.75,0
12,4.62,21.33,54.58,0.0011,0,32.75,0
13,4.62,21.33,54.58,0.0011,0,32.75,0
14,4.62,21.36,54.58,0.0011,0,32.75,0
15,4.61,21.36,54.58,0.0011,0,32.75,0
16,4.61,21.36,56.66,0.0011,0,34,0
17,4.61,21.94,56.66,0.0011,0,34,0
18,4.61,21.94,56.66,0.0011,0,34,0
19,4.61,21.94,56.66,0.0011,0,34,0
20,4.61,21.94,54.12,0.0011,0,32.47,0
21,4.61,21.94,54.12,0.0011,0,32.47,0
22,4.61,21.94,51.41,0.0011,0,30.85,0
23,4.61,21.94,51.41,0.0009,0,30.85,0
24,4.61,21.94,51.41,0.0009,1,30.85,0
25,4.84,21.94,51.41,0.0009,1,30.85,0
26,4.84,18.35,51.41,0.0009,1,30.85,0
27,8.83,18.35,51.41,0.0009,1,30.85,0
28,8.83,18.35,51.41,0.0009,0,30.85,0
29,8.83,20.51,51.41,0.0009,0,30.85,0
30,8.83,20.51,51.41,0.001,0,30.85,0
31,8.83,20.51,58.66,0.001,0,35.2,0
32,8.83,20.76,58.66,0.001,0,35.2,0
33,8.83,20.76,60.99,0.001,0,36.59,0
34,8.83,20.76,60.99,0.001,0,36.59,0
35,8.83,20.76,60.99,694.7278,0,36.59,0
36,9.57,20.76,60.99,694.7278,0,36.59,0
37,9.57,20.76,60.99,694.7278,0,36.59,0
38,9.57,20.76,60.99,752.6984,0,36.59,0
39,9.57,20.76,55.86,752.6984,0,33.52,0
40,8.07,20.76,55.86,752.6984,0,33.52,0
41,8.07,19.3,55.86,752.6984,0,33.52,0
42,8.07,19.3,55.86,752.6984,0,33.52,0
43,8.07,18.02,55.86,752.6984,0,33.52,0
44,8.07,18.02,55.86,748.8764,0,33.52,0
45,7.26,18.02,55.86,748.8764,0,33.52,0
46,7.26,18.02,54.51,748.8764,0,32.71,0
47,6.33,18.02,54.51,748.8764,0,32.71,0
48,6.33,18.02,54.51,748.8764,0,32.71,0
49,6.33,18.02,54.51,745.0827,0,32.71,0
50,6.33,18.02,61.89,745.0827,0,37.13,0
51,6.33,20.32,61.89,745.0827,0,37.13,0
52,6.22,20.32,61.89,745.0827,0,37.13,0
53,6.22,19.75,61.89,745.0827,0,37.13,0
54,6.22,19.75,61.89,730.2763,0,37.13,0
55,6.22,19.75,54.14,730.2763,0,32.49,0
56,6.22,19.75,54.14,730.2763,0,32.49,0
57,6.22,19.75,54.14,730.2763,0,32.49,0
58,6.22,19.75,54.14,680.1174,0,32.49,0
59,5.54,19.75,54.14,680.1174,0,32.49,0
60,5.54,19.57,54.14,680.1174,0,32.49,0
61,5.54,19.57,59.21,680.1174,0,35.53,0
62,5.23,19.57,59.21,680.1174,0,35.53,0
63,5.23,19.57,59.21,680.1174,0,35.53,0
64,5.23,20.15,59.21,680.1174,0,35.53,0
65,5.23,20.15,59.21,0.0009,0,35.53,0
66,5.23,20.15,54.73,0.0009,0,32.84,0
67,5.23,18.84,54.73,0.0009,0,32.84,0
68,5.23,18.84,54.91,0.0009,0,32.94,0
69,5.16,18.84,54.91,0.0009,0,32.94,0
70,5.16,18.84,54.91,0.0009,0,32.94,0
71,5.16,18.84,54.91,0.0011,0,32.94,0
72,5.16,19.76,54.91,0.0011,0,32.94,0
73,5.16,19.76,54.91,0.0011,0,32.94,0
74,5.16,19.76,54.91,0.001,0,32.94,0
75,4.76,19.76,54.91,0.001,0,32.94,0
76,4.76,19.76,60.39,0.001,0,36.24,0
77,4.76,19.76,60.39,0.001,0,36.24,0
78,4.76,19.76,60.39,0.0011,0,36.24,0
79,4.76,19.76,51.28,0.0011,0,30.77,0
80,4.76,21.42,51.28,0.0011,0,30.77,0
81,5.5,21.42,51.28,0.0011,0,30.77,0
82,5.5,21.42,51.28,0.0009,0,30.77,0
83,5.5,19.12,51.28,0.0009,0,30.77,0
84,5.5,19.12,51.28,0.0009,1,30.77,0
85,5.21,19.12,51.28,0.0009,1,30.77,0
86,5.21,19.12,60.35,0.0009,1,36.21,0
87,5.21,19.12,60.35,0.0009,0,36.21,0
88,5.21,19.12,60.43,0.0009,0,36.26,0
89,5.21,18.59,60.43,0.0009,0,36.26,0
90,5.21,18.59,60.43,0.001,0,36.26,0
91,7.48,18.59,60.43,0.001,0,36.26,0
92,7.48,18.59,60.43,0.001,1,36.26,0
93,6.82,18.59,60.43,0.001,1,36.26,0
94,6.82,20.79,60.43,0.001,1,36.26,0
95,6.82,20.79,60.43,727.8541,1,36.26,0
96,6.82,20.79,51.65,727.8541,1,30.99,0
97,8.78,20.79,51.65,727.8541,1,30.99,0
98,8.78,20.79,51.65,727.8541,0,30.99,0
99,8.78,20.79,55.62,727.8541,0,33.37,0
100,8.78,20.79,55.62,781.8532,0,33.37,0
101,8.78,19.29,55.62,781.8532,0,33.37,0
102,6.96,19.29,55.62,781.8532,0,33.37,0
103,6.96,19.29,55.62,781.8532,0,33.37,0
104,6.96,19.29,55.62,670.5179,0,33.37,0
105,6.96,21.35,55.62,670.5179,0,33.37,0
106,6.96,21.35,55.7,670.5179,0,33.42,0
107,6.96,20.67,55.7,670.5179,0,33.42,0
108,6.96,20.67,55.7,670.5179,0,33.42,0
109,7.06,20.67,55.7,670.5179,0,33.42,0
110,7.06,20.67,53.74,670.5179,0,32.24,0
111,7.06,20.67,53.74,720.2557,0,32.24,0
112,5.81,20.67,53.74,720.2557,0,32.24,0
113,5.81,20.67,53.74,720.2557,0,32.24,0
114,5.81,20.67,53.74,752.3205,0,32.24,0
115,5.81,21.15,53.74,752.3205,0,32.24,0
116,5.81,21.15,57.49,752.3205,0,34.5,0
117,5.81,21.15,57.49,0.001,0,34.5,0
118,5.81,21.15,57.49,0.001,0,34.5,0
119,5.66,21.15,57.49,0.001,0,34.5,0
120,5.66,21.15,57.48,0.001,0,34.49,0
121,5.66,21.26,57.48,0.001,0,34.49,0
122,5.66,21.26,57.48,0.001,0,34.49,0
123,5,21.26,57.48,0.001,0,34.49,0
124,5,21.5,57.48,0.001,0,34.49,0
125,5,21.5,57.48,0.0011,0,34.49,0
126,5,21.5,61.57,0.0011,0,36.94,0
127,5,21.5,61.57,0.0011,0,36.94,0
128,5,20.74,61.57,0.0011,0,36.94,0
129,5,20.74,59.48,0.0011,0,35.69,0
130,5,20.74,59.48,0.0011,0,35.69,0
131,4.93,20.74,59.48,0.0011,0,35.69,0
132,4.93,20.74,59.48,0.0011,1,35.69,0
133,5.86,20.74,59.48,0.0011,1,35.69,0
134,5.86,21.62,59.48,0.0011,1,35.69,0
135,5.86,21.62,52.96,0.0011,1,31.78,0
136,5.86,21.62,52.96,0.0009,1,31.78,0
137,5.86,19.83,52.96,0.0009,1,31.78,0
138,5.86,19.83,60.74,0.0009,1,36.44,0
139,5.86,19.83,60.74,0.0009,0,36.44,0
140,5.86,19.83,60.74,0.001,0,36.44,0
